symbol,settlement,bid_size,bid,ask,ask_size,last,close,change,open,high,low,previous_close,turnover,volume,operations,datetime,group,expiration
AE38,2,892,81460.0,81470.0,7785,81460.0,0,-0.0040999999999999995,81780.0,81900.0,81060.0,81800.0,8594222327.2,10538713,5191,2025-05-14 16:37:00,GO,2038-01-09
AE38C,2,652,70.34,70.5,7785,70.48,0,-0.0024,70.78,70.82,70.26,70.65,726514.86,1029070,381,2025-05-14 16:29:00,GO,2038-01-09
AE38D,2,652,71.48,71.5,2100,71.5,0,-0.0027,71.94,71.94,71.19,71.7,3077364.09,4302470,2364,2025-05-14 16:36:00,GO,2038-01-09
AE38X,2,0,0.0,0.0,0,82057.063,0,0.0,0.0,82057.063,82057.063,82057.063,2864177166.9,3490470,1,2025-05-14 14:44:00,GO,2038-01-09
AE38Y,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,70.4035,0.0,0,0,,GO,2038-01-09
AE38Z,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,69.038,0.0,0,0,,GO,2038-01-09
AL29,2,1702,83000.0,83050.0,815,83010.0,0,0.0001,83000.0,83970.0,82280.0,83000.0,1999461090.9,2414454,1468,2025-05-14 16:36:00,GO,2029-07-09
AL29C,2,2245,71.64,71.87,815,71.8,0,0.0012,71.86,71.86,71.32,71.71,17947.87,25081,48,2025-05-14 16:12:00,GO,2029-07-09
AL29D,2,2245,72.8,72.91,274,72.8,0,0.0,73.0,73.27,72.3,72.8,846083.62,1165043,781,2025-05-14 16:34:00,GO,2029-07-09
AL29X,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,84057.534,0.0,0,0,,GO,2029-07-09
AL29Y,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,27.6,0.0,0,0,,GO,2029-07-09
AL29Z,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,30.16,0.0,0,0,,GO,2029-07-09
AL30,2,45744,77550.0,77570.0,43359,77570.0,0,0.0011,77460.0,77900.0,77100.0,77480.0,122361165390.6,157686632,32224,2025-05-14 16:37:05,GO,2030-07-09
AL30C,2,39534,67.0,67.02,21989,67.02,0,0.0007000000000000001,67.5,67.5,66.86,66.97,20255942.99,30183728,7794,2025-05-14 16:36:00,GO,2030-07-09
AL30D,2,14552,68.05,68.06,300,68.05,0,0.002,68.0,68.28,67.52,67.91,42293359.0,62135412,27394,2025-05-14 16:36:00,GO,2030-07-09
AL30X,2,0,0.0,0.0,0,77808.25,0,0.0,0.0,77808.25,77553.932,77452.0,2687001443.27,3460299,2,2025-05-14 15:16:00,GO,2030-07-09
AL30Y,2,0,0.0,0.0,0,68.344,0,0.0,0.0,68.344,66.891,67.905,3850007.53,5696971,3,2025-05-14 15:32:00,GO,2030-07-09
AL30Z,2,0,0.0,0.0,0,67.5,0,0.0,0.0,67.5,66.0,67.0,3699999.9,5520108,3,2025-05-14 15:32:00,GO,2030-07-09
AL35,2,1108,78790.0,78860.0,171,78870.0,0,0.001,78760.0,79000.0,78160.0,78790.0,2378522119.3,3021125,2634,2025-05-14 16:36:00,GO,2035-07-09
AL35C,2,1108,67.99,68.24,171,68.02,0,-0.0005,67.9,68.92,67.9,68.06,7959.58,11674,37,2025-05-14 16:35:00,GO,2035-07-09
