symbol,settlement,bid_size,bid,ask,ask_size,last,close,change,open,high,low,previous_close,turnover,volume,operations,datetime,group,expiration
B2J5C,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-06-26
B2J5D,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-06-26
B3L5C,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-07-24
B3L5D,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-07-24
B3Y5C,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-05-22
B3Y5D,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-05-22
BA2N5,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-11-28
BA2NC,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-11-28
BA2ND,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-11-28
BAN25,2,0,0.0,1080.0,10000,0.0,0,0.0,0.0,0.0,0.0,100.4103,0.0,0,0,,GO,2025-11-14
BAN5C,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-11-14
BAN5D,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-11-14
BB2J5,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-06-26
BB2Y5,2,500000,126.1,146.0,297094,146.0,0,-0.0282,150.0,150.0,146.0,150.25,992971.24,664374,96,2025-05-14 16:35:00,GO,2025-05-22
BB2YC,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-05-22
BB2YD,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-05-22
BB3L5,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-07-24
BB3Y5,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-05-22
BBG25,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-08-21
BBG5C,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-08-21
