symbol,settlement,bid_size,bid,ask,ask_size,last,close,change,open,high,low,previous_close,turnover,volume,operations,datetime,group,expiration
AB1AP,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,CORP,2025-06-16
AB1BP,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,CORP,2028-06-16
ADC2C,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,CORP,2025-07-06
ADC2D,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,CORP,2025-07-06
ADC2P,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,CORP,2025-07-06
AE10C,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,CORP,2025-07-05
AE10D,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,CORP,2025-07-05
AE10O,2,0,0.0,139000.0,850,0.0,0.0,0.0,0.0,0.0,0.0,79000.0,0.0,0,0,,CORP,2025-07-05
AE10X,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,71350.0,0.0,0,0,,CORP,2025-07-05
AE10Y,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,CORP,2025-07-05
AE10Z,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,CORP,2025-07-05
AEC1C,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,95.2089,0.0,0,0,,CORP,2025-07-14
AEC1D,2,9237,99.8,100.45,42,100.0,0.0,-0.0004,101.25,101.25,98.4,100.05,20438.71,20387,23,2025-05-14 16:24:00,CORP,2025-07-14
AEC1O,2,1000,113610.0,114390.0,198,113600.0,0.0,0.0007000000000000001,113500.0,115000.0,113500.0,113510.0,3532968.1,3100,43,2025-05-14 16:30:00,CORP,2025-07-14
AEC1X,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,CORP,2025-07-14
AEC1Y,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0,0,,CORP,2025-07-14
