symbol,settlement,bid_size,bid,ask,ask_size,last,close,change,open,high,low,previous_close,turnover,volume,operations,datetime,group,expiration,tipo
AE38,2,892,81460.0,81470.0,7785,81460.0,0.0,-0.0040999999999999995,81780.0,81900.0,81060.0,81800.0,8594222327.2,10538713,5191,2025-05-14 16:37:00,GO,2038-01-09,BONOS SOBERANOS
AE38C,2,652,70.34,70.5,7785,70.48,0.0,-0.0024,70.78,70.82,70.26,70.65,726514.86,1029070,381,2025-05-14 16:29:00,GO,2038-01-09,BONOS SOBERANOS
AE38D,2,652,71.48,71.5,2100,71.5,0.0,-0.0027,71.94,71.94,71.19,71.7,3077364.09,4302470,2364,2025-05-14 16:36:00,GO,2038-01-09,BONOS SOBERANOS
AE38X,2,0,0.0,0.0,0,82057.063,0.0,0.0,0.0,82057.063,82057.063,82057.063,2864177166.9,3490470,1,2025-05-14 14:44:00,GO,2038-01-09,BONOS SOBERANOS
AE38Y,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,70.4035,0.0,0,0,,GO,2038-01-09,BONOS SOBERANOS
AE38Z,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,69.038,0.0,0,0,,GO,2038-01-09,BONOS SOBERANOS
AL29,2,1702,83000.0,83050.0,815,83010.0,0.0,0.0001,83000.0,83970.0,82280.0,83000.0,1999461090.9,2414454,1468,2025-05-14 16:36:00,GO,2029-07-09,BONOS SOBERANOS
AL29C,2,2245,71.64,71.87,815,71.8,0.0,0.0012,71.86,71.86,71.32,71.71,17947.87,25081,48,2025-05-14 16:12:00,GO,2029-07-09,BONOS SOBERANOS
AL29D,2,2245,72.8,72.91,274,72.8,0.0,0.0,73.0,73.27,72.3,72.8,846083.62,1165043,781,2025-05-14 16:34:00,GO,2029-07-09,BONOS SOBERANOS
AL29X,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,84057.534,0.0,0,0,,GO,2029-07-09,BONOS SOBERANOS
AL29Y,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,0.0,0,0,,GO,2029-07-09,BONOS SOBERANOS
AL29Z,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.16,0.0,0,0,,GO,2029-07-09,BONOS SOBERANOS
AL30,2,45744,77550.0,77570.0,43359,77570.0,0.0,0.0011,77460.0,77900.0,77100.0,77480.0,122361165390.6,157686632,32224,2025-05-14 16:37:05,GO,2030-07-09,BONOS SOBERANOS
AL30C,2,39534,67.0,67.02,21989,67.02,0.0,0.0007000000000000001,67.5,67.5,66.86,66.97,20255942.99,30183728,7794,2025-05-14 16:36:00,GO,2030-07-09,BONOS SOBERANOS
AL30D,2,14552,68.05,68.06,300,68.05,0.0,0.002,68.0,68.28,67.52,67.91,42293359.0,62135412,27394,2025-05-14 16:36:00,GO,2030-07-09,BONOS SOBERANOS
AL30X,2,0,0.0,0.0,0,77808.25,0.0,0.0,0.0,77808.25,77553.932,77452.0,2687001443.27,3460299,2,2025-05-14 15:16:00,GO,2030-07-09,BONOS SOBERANOS
AL30Y,2,0,0.0,0.0,0,68.344,0.0,0.0,0.0,68.344,66.891,67.905,3850007.53,5696971,3,2025-05-14 15:32:00,GO,2030-07-09,BONOS SOBERANOS
AL30Z,2,0,0.0,0.0,0,67.5,0.0,0.0,0.0,67.5,66.0,67.0,3699999.9,5520108,3,2025-05-14 15:32:00,GO,2030-07-09,BONOS SOBERANOS
AL35,2,1108,78790.0,78860.0,171,78870.0,0.0,0.001,78760.0,79000.0,78160.0,78790.0,2378522119.3,3021125,2634,2025-05-14 16:36:00,GO,2035-07-09,BONOS SOBERANOS
AL35C,2,1108,67.99,68.24,171,68.02,0.0,-0.0005,67.9,68.92,67.9,68.06,7959.58,11674,37,2025-05-14 16:35:00,GO,2035-07-09,BONOS SOBERANOS
AL35D,2,463,69.04,69.2,202,69.2,0.0,0.0014000000000000002,69.0,69.29,68.11,69.1,741231.57,1073436,1049,2025-05-14 16:36:00,GO,2035-07-09,BONOS SOBERANOS
AL35X,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,79810.0,0.0,0,0,,GO,2035-07-09,BONOS SOBERANOS
AL35Y,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,0.0,0,0,,GO,2035-07-09,BONOS SOBERANOS
AL35Z,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,67.4,0.0,0,0,,GO,2035-07-09,BONOS SOBERANOS
AL41,2,6536,73760.0,74090.0,1011,73760.0,0.0,-0.0006,75480.0,75480.0,73250.0,73810.0,511664427.8,691248,1088,2025-05-14 16:35:00,GO,2041-07-09,BONOS SOBERANOS
AL41C,2,169,63.71,64.04,9460,63.95,0.0,-0.001,63.66,64.19,63.66,64.02,5350.25,8353,24,2025-05-14 16:13:00,GO,2041-07-09,BONOS SOBERANOS
AL41D,2,169,64.74,64.83,9460,64.84,0.0,-0.0039000000000000003,65.27,65.42,64.45,65.1,144250.14,222157,1725,2025-05-14 16:34:00,GO,2041-07-09,BONOS SOBERANOS
AL41X,2,0,0.0,0.0,0,73442.431,0.0,0.0,0.0,75052.192,73442.431,74293.126,2680308114.6,3600000,2,2025-05-14 15:16:00,GO,2041-07-09,BONOS SOBERANOS
AL41Y,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,62.85,0.0,0,0,,GO,2041-07-09,BONOS SOBERANOS
AL41Z,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,47.01,0.0,0,0,,GO,2041-07-09,BONOS SOBERANOS
BA25X,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,107.95,0.0,0,0,,GO,2025-10-27,BONOS SOBERANOS
BA37D,2,1381,76410.0,76460.0,2008,76400.0,0.0,0.0046,76300.0,77290.0,75520.0,76050.0,2227104372.3,2913460,336,2025-05-14 16:35:00,GO,2037-09-01,BONOS SOBERANOS
BA37E,2,1820667,0.01,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0,0,,GO,2037-09-01,BONOS SOBERANOS
BA7DC,2,1381,65.94,66.17,2008,0.0,0.0,0.0,0.0,0.0,0.0,66.03,0.0,0,0,,GO,2037-09-01,BONOS SOBERANOS
BA7DD,2,7653,67.0,67.11,768,67.0,0.0,0.0,67.5,67.5,66.5,67.0,85523.04,127462,64,2025-05-14 16:36:00,GO,2037-09-01,BONOS SOBERANOS
BA7DX,2,0,0.0,0.0,0,76296.0,0.0,0.0,0.0,76296.0,76230.0,74637.4999584,1733500554.72,2272728,2,2025-05-14 16:16:00,GO,2037-09-01,BONOS SOBERANOS
BA7DY,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0,0,,GO,2037-09-01,BONOS SOBERANOS
BA7DZ,2,0,0.0,0.0,0,66.0,0.0,0.0,0.0,66.0,66.0,64.33,1500000.48,2272728,2,2025-05-14 16:17:00,GO,2037-09-01,BONOS SOBERANOS
BAD25,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,68930.0,0.0,0,0,,GO,2025-12-03,BONOS SOBERANOS
BAD5X,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11500.0,0.0,0,0,,GO,2025-12-03,BONOS SOBERANOS
BAO25,2,0,0.0,0.0,0,29.77,0.0,0.0,29.77,29.77,29.77,29.77,148850.0,500000,1,2025-05-14 14:59:00,GO,2025-10-27,BONOS SOBERANOS
BAS26,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,85.4986,0.0,0,0,,GO,2026-09-09,BONOS SOBERANOS
BB37D,2,2924,69850.0,69910.0,80,69910.0,0.0,0.0079,69500.0,70470.0,68920.0,69360.0,53939617.2,77486,136,2025-05-14 16:34:00,GO,2037-09-01,BONOS SOBERANOS
BB37E,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1702.7176,0.0,0,0,,GO,2037-09-01,BONOS SOBERANOS
BB7DC,2,2600,58.0,62.0,4900,0.0,0.0,0.0,0.0,0.0,0.0,60.5,0.0,0,0,,GO,2037-09-01,BONOS SOBERANOS
BB7DD,2,544,61.2,61.54,45538,61.2,0.0,0.0001,60.81,61.65,60.0,61.19,12545.7,20589,39,2025-05-14 16:34:00,GO,2037-09-01,BONOS SOBERANOS
BB7DX,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,69194.0,0.0,0,0,,GO,2037-09-01,BONOS SOBERANOS
BB7DY,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0,0,,GO,2037-09-01,BONOS SOBERANOS
BB7DZ,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0,0,,GO,2037-09-01,BONOS SOBERANOS
