symbol,settlement,bid_size,bid,ask,ask_size,last,close,change,open,high,low,previous_close,turnover,volume,operations,datetime,group,expiration
AL29,2,7012,83300.0,83390.0,1000,83300.0,0,0.0036,83000.0,83970.0,82280.0,83000.0,2015996961.6,2434334,1488,2025-05-14 16:45:00,GO,2029-07-09
AL29C,2,14024,71.87,72.23,1000,72.09,0,0.0052,71.86,72.09,71.32,71.71,21663.28,30235,55,2025-05-14 16:44:00,GO,2029-07-09
AL29D,2,7012,73.04,73.2,4095,73.04,0,0.0032,73.0,73.27,72.3,72.8,877197.65,1207553,790,2025-05-14 16:45:00,GO,2029-07-09
AL30,2,45168,77540.0,77550.0,20000,77540.0,0,0.0007000000000000001,77460.0,77900.0,77100.0,77480.0,124611162616.3,160587287,32633,2025-05-14 16:46:00,GO,2030-07-09
AL30C,2,36130,66.99,67.04,36938,67.0,0,0.0004,67.5,67.5,66.86,66.97,20898871.14,31142496,7932,2025-05-14 16:45:00,GO,2030-07-09
AL30D,2,21086,68.05,68.08,24201,68.08,0,0.0025,68.0,68.28,67.52,67.91,43006820.9,63183754,27616,2025-05-14 16:45:00,GO,2030-07-09
AL30X,2,0,0.0,0.0,0,77808.25,0,0.0,0.0,77808.25,77553.932,77452.0,2687001443.27,3460299,2,2025-05-14 15:16:00,GO,2030-07-09
AL30Y,2,0,0.0,0.0,0,68.344,0,0.0,0.0,68.344,66.891,67.905,3850007.53,5696971,3,2025-05-14 15:32:00,GO,2030-07-09
AL30Z,2,0,0.0,0.0,0,67.5,0,0.0,0.0,67.5,66.0,67.0,3699999.9,5520108,3,2025-05-14 15:32:00,GO,2030-07-09
AL35,2,617,78800.0,78970.0,18436,78800.0,0,0.0001,78760.0,79000.0,78160.0,78790.0,2384542581.4,3028763,2657,2025-05-14 16:45:00,GO,2035-07-09
AL35C,2,12205,68.1,68.39,640,68.02,0,-0.0005,67.9,68.92,67.9,68.06,7959.58,11674,37,2025-05-14 16:35:00,GO,2035-07-09
AL35D,2,12205,69.2,69.23,640,69.15,0,0.0007000000000000001,69.0,69.29,68.11,69.1,741950.7,1074476,1058,2025-05-14 16:42:00,GO,2035-07-09
AL41,2,54,73810.0,74070.0,3419,73810.0,0,0.0,75480.0,75480.0,73250.0,73810.0,532425658.1,719305,1107,2025-05-14 16:45:00,GO,2041-07-09
AL41C,2,4554,63.69,64.11,9924,63.94,0,-0.0012,63.66,64.19,63.66,64.02,6669.33,10416,25,2025-05-14 16:38:00,GO,2041-07-09
AL41D,2,4554,64.72,64.9,9924,64.73,0,-0.005600000000000001,65.27,65.42,64.45,65.1,168451.52,259499,1739,2025-05-14 16:45:00,GO,2041-07-09
AL41X,2,0,0.0,0.0,0,73442.431,0,0.0,0.0,75052.192,73442.431,74293.126,2680308114.6,3600000,2,2025-05-14 15:16:00,GO,2041-07-09
