symbol,settlement,bid_size,bid,ask,ask_size,last,close,change,open,high,low,previous_close,turnover,volume,operations,datetime,group,expiration
GD29,2,1490,85230.0,85800.0,1999,85230.0,0,-0.004699999999999999,85650.0,88480.0,84510.0,85640.0,598017270.7,699366,313,2025-05-14 16:44:00,GO,2029-07-09
GD29C,2,5,73.83,74.31,1999,74.07,0,-0.0038,74.58,74.58,74.07,74.36,58.58,79,3,2025-05-14 14:59:00,GO,2029-07-09
GD29D,2,4001,75.17,75.38,1999,75.2,0,0.0013,75.49,75.72,74.0,75.1,78439.27,104356,175,2025-05-14 16:45:00,GO,2029-07-09
GD30,2,2000,79820.0,79850.0,1,79850.0,0,0.0012,79750.0,80340.0,78760.0,79750.0,27559355867.7,34506105,7529,2025-05-14 16:45:00,GO,2030-07-09
GD30C,2,4000,68.91,69.05,56489,69.05,0,0.0021,68.75,69.3,68.75,68.9,1841083.1,2665045,575,2025-05-14 16:43:00,GO,2030-07-09
GD30D,2,46,70.02,70.09,1,70.02,0,0.006999999999999999,68.6,70.57,68.6,69.53,4013835.01,5726276,2852,2025-05-14 16:44:00,GO,2030-07-09
GD30X,2,0,0.0,0.0,0,80200.0,0,0.0,0.0,80200.0,80200.0,80046.027,13233000000.0,16500000,1,2025-05-14 16:24:00,GO,2030-07-09
GD35,2,753,79900.0,80040.0,3641,79960.0,0,0.0013,79900.0,80260.0,79270.0,79850.0,25828721377.8,32301117,5047,2025-05-14 16:45:00,GO,2035-07-09
GD35C,2,1692,69.0,69.18,20000,69.08,0,0.0011,69.15,69.37,68.99,69.0,449298.49,649503,319,2025-05-14 16:44:00,GO,2035-07-09
GD35D,2,753,70.06,70.19,17461,70.2,0,0.0021,70.0,70.29,69.65,70.05,2767270.12,3946057,4134,2025-05-14 16:44:00,GO,2035-07-09
GD35X,2,0,0.0,0.0,0,79948.7,0,0.0,0.0,80260.75,79764.0,79730.0,7918013029.43,9901150,10,2025-05-14 16:45:01,GO,2035-07-09
GD35Y,2,0,0.0,0.0,0,70.203,0,0.0,0.0,70.203,70.025,70.0,4058484.45,5784745,2,2025-05-14 16:08:00,GO,2035-07-09
GD35Z,2,0,0.0,0.0,0,69.1,0,0.0,0.0,69.34,68.99,69.5,9999999.52,14463873,10,2025-05-14 16:44:00,GO,2035-07-09
GD38,2,4864,84670.0,85000.0,228047,84670.0,0,-0.0003,82430.0,85270.0,82430.0,84700.0,6544186351.1,7719413,4112,2025-05-14 16:45:00,GO,2038-01-09
GD38C,2,0,0.0,73.5,602,73.2,0,0.0,73.2,73.57,73.2,73.2,45976.39,62649,43,2025-05-14 16:39:00,GO,2038-01-09
GD38D,2,2000,74.25,74.68,20000,74.64,0,0.0045000000000000005,74.0,75.19,73.17,74.3,2163087.22,2908844,1800,2025-05-14 16:44:00,GO,2038-01-09
GD38X,2,0,0.0,0.0,0,83044.5,0,0.0,0.0,83044.5,83044.5,84703.6,577499757.45,695410,1,2025-05-14 15:26:00,GO,2038-01-09
GD38Z,2,0,0.0,0.0,0,71.9,0,0.0,0.0,73.212,71.9,73.5,2500328.07,3427651,2,2025-05-14 15:26:00,GO,2038-01-09
GD41,2,67,73980.0,74200.0,4847,74010.0,0,-0.0012,72830.0,74300.0,72830.0,74100.0,9511637818.2,12861677,2343,2025-05-14 16:45:00,GO,2041-07-09
GD41C,2,502,63.92,64.17,2651,64.04,0,-0.0012,64.14,64.31,63.86,64.12,175487.09,274388,87,2025-05-14 16:20:00,GO,2041-07-09
GD41D,2,85,64.91,64.96,2651,64.99,0,-0.0016,65.0,65.25,64.65,65.1,2417747.11,3731394,4019,2025-05-14 16:41:00,GO,2041-07-09
GD41X,2,0,0.0,0.0,0,74199.51,0,0.0,0.0,75052.192,72850.0,74166.51,8048664235.59,10909236,5,2025-05-14 16:19:00,GO,2041-07-09
GD41Z,2,0,0.0,0.0,0,64.242,0,0.0,0.0,64.242,64.0,64.0,1999999.97,3119114,2,2025-05-14 16:19:00,GO,2041-07-09
GD46,2,1,77150.0,77280.0,339,77280.0,0,0.0024,78000.0,78190.0,76500.0,77090.0,67429047.3,87778,165,2025-05-14 16:42:00,GO,2046-07-09
GD46C,2,2,66.57,66.93,339,66.64,0,-0.0007000000000000001,66.68,66.68,66.64,66.69,1252.24,1878,3,2025-05-14 13:35:00,GO,2046-07-09
GD46D,2,1,67.65,67.8,760,67.85,0,-0.0078000000000000005,69.98,69.98,67.3,68.39,7131.67,10529,40,2025-05-14 16:40:00,GO,2046-07-09
